Sales_Rep,Business,Age,Female,Years,College,Personality,Certficates,Feedback,Salary,NPS
1,Hardware,59,1,2,Yes,Diplomat,1,2.01,70200,5
2,Hardware,52,0,10,Yes,Diplomat,4,3.64,133000,10
3,Software,47,1,1,Yes,Explorer,1,3.88,52600,8
4,Hardware,61,0,2,Yes,Diplomat,3,2.70,96000,6
5,Software,39,0,1,No,Diplomat,5,3.44,122000,7
6,Hardware,28,0,6,Yes,Explorer,1,2.43,60000,6
7,Software,25,1,1,Yes,Explorer,5,3.3,68000,6
8,Hardware,51,1,10,No,Explorer,0,2.15,43800,5
9,Hardware,34,0,4,Yes,Diplomat,2,2.91,92000,7
10,Hardware,38,1,1,Yes,Explorer,5,1.23,73400,6
11,Software,53,1,11,Yes,Explorer,2,3.93,93400,8
12,Hardware,41,1,1,Yes,Sentinel,1,2.26,51800,5
13,Hardware,40,0,1,No,Diplomat,4,3.60,116000,9
14,Software,41,0,2,Yes,Explorer,3,2.17,89000,6
15,Hardware,46,1,2,Yes,Analyst,1,4.00,61800,5
16,Hardware,38,1,4,Yes,Diplomat,1,2.37,57400,4
17,Software,39,0,2,No,Sentinel,2,3.00,57000,3
18,Hardware,52,1,1,No,Sentinel,0,2.72,50600,4
19,Software,54,1,2,Yes,Explorer,5,2.04,90200,9
20,Hardware,24,0,1,Yes,Analyst,1,2.66,39000,3
21,Software,53,0,1,Yes,Explorer,2,2.42,75000,6
22,Hardware,37,1,1,Yes,Diplomat,2,3.71,96600,9
23,Software,32,1,1,Yes,Explorer,3,3.42,61600,5
24,Hardware,33,0,2,Yes,Explorer,1,1.16,60000,4
25,Software,55,1,1,Yes,Analyst,1,1.99,53000,4
26,Software,27,1,2,Yes,Diplomat,6,2.93,73600,9
27,Hardware,58,1,2,Yes,Explorer,4,3.54,73400,7
28,Software,52,1,7,Yes,Sentinel,1,3.37,46600,3
29,Software,26,0,1,Yes,Explorer,2,3.29,77000,10
30,Software,28,1,8,Yes,Diplomat,3,2.50,66400,9
31,Hardware,62,0,7,Yes,Diplomat,5,2.6,80000,6
32,Software,44,0,2,Yes,Explorer,3,1.60,101000,7
33,Hardware,42,1,2,Yes,Diplomat,5,2.15,78600,8
34,Software,36,1,1,No,Diplomat,5,2.11,69800,5
35,Software,52,1,1,No,Explorer,3,1.92,64600,7
36,Software,53,0,2,No,Explorer,1,3.08,47000,5
37,Software,56,1,2,Yes,Diplomat,6,1.43,88800,8
38,Software,51,1,2,Yes,Explorer,3,3.63,96800,7
39,Hardware,40,0,2,Yes,Explorer,5,3.64,137000,9
40,Software,49,0,2,No,Diplomat,1,2.06,61000,5
41,Hardware,43,0,2,Yes,Diplomat,3,1.63,70000,7
42,Software,40,0,2,Yes,Analyst,5,2.67,91000,5
43,Software,43,0,4,Yes,Sentinel,3,3.62,95000,5
44,Hardware,59,0,6,Yes,Explorer,1,4.00,97000,10
45,Software,22,0,1,Yes,Diplomat,3,1.92,73000,5
46,Software,48,0,2,Yes,Explorer,0,1.52,50000,5
47,Software,27,0,2,No,Sentinel,4,3.72,54000,7
48,Hardware,38,0,3,No,Explorer,2,1.85,77000,3
49,Hardware,65,1,1,No,Diplomat,2,2.84,41000,3
50,Software,31,0,1,No,Explorer,3,1.88,61000,6
51,Software,50,0,1,Yes,Explorer,5,1.99,94000,9
52,Hardware,39,0,2,No,Diplomat,3,1.95,67000,5
53,Software,24,1,2,Yes,Analyst,5,2.01,62200,6
54,Hardware,50,0,8,Yes,Explorer,1,3.13,81000,6
55,Hardware,39,0,2,Yes,Sentinel,4,4.00,78000,8
56,Software,45,0,1,Yes,Diplomat,4,2.16,84000,10
57,Software,34,1,2,Yes,Diplomat,2,1.30,71200,4
58,Software,30,1,2,Yes,Sentinel,4,1.62,44000,3
59,Software,34,1,2,Yes,Sentinel,3,1.46,52200,3
60,Software,44,1,2,No,Analyst,1,1.63,39200,3
61,Software,33,0,2,Yes,Analyst,0,2.19,42000,3
62,Hardware,34,1,1,Yes,Analyst,0,3.15,54200,6
63,Software,27,0,1,Yes,Diplomat,2,2.22,69000,9
64,Hardware,28,0,4,Yes,Diplomat,3,3.03,60000,4
65,Software,54,0,2,Yes,Diplomat,5,3.75,118000,10
66,Software,31,0,1,Yes,Analyst,2,2.47,52000,4
67,Software,46,1,4,Yes,Explorer,1,2.89,81800,5
68,Hardware,63,0,3,Yes,Explorer,5,2.14,76000,5
69,Hardware,54,1,1,Yes,Explorer,3,2.74,96200,7
70,Software,46,0,8,Yes,Sentinel,2,1.27,65000,5
71,Software,35,0,2,Yes,Sentinel,1,1.95,60000,5
72,Hardware,52,0,2,Yes,Analyst,4,1.21,84000,4
73,Hardware,36,1,3,Yes,Diplomat,1,2.35,55800,3
74,Hardware,28,0,1,Yes,Explorer,2,4.00,72000,8
75,Hardware,55,0,2,Yes,Explorer,6,1.31,93000,10
76,Software,25,0,2,Yes,Sentinel,4,2.13,56000,6
77,Software,28,0,2,Yes,Explorer,3,1.32,68000,6
78,Hardware,56,0,1,No,Explorer,2,2.42,60000,5
79,Software,44,0,2,Yes,Explorer,2,2.73,89000,4
80,Hardware,65,0,1,Yes,Sentinel,3,2.16,71000,5
81,Software,37,0,2,Yes,Analyst,4,1.71,90000,6
82,Software,34,0,2,Yes,Sentinel,0,3.49,61000,3
83,Hardware,59,0,2,Yes,Explorer,6,2.22,81000,9
84,Hardware,25,0,2,Yes,Diplomat,0,3.77,70000,5
85,Hardware,46,0,2,Yes,Diplomat,2,1.41,63000,4
86,Software,56,0,5,Yes,Sentinel,2,3.28,110000,6
87,Hardware,36,1,1,Yes,Sentinel,3,3.82,58800,6
88,Software,35,1,7,Yes,Explorer,1,3.70,100000,10
89,Hardware,60,0,7,Yes,Diplomat,1,1.94,70000,6
90,Software,26,0,1,No,Explorer,4,1.87,36000,7
91,Software,25,0,1,No,Explorer,4,2.32,59000,7
92,Software,47,0,1,Yes,Sentinel,2,1.84,64000,5
93,Software,25,0,1,Yes,Diplomat,2,2.50,76000,7
94,Hardware,65,1,2,Yes,Explorer,1,4.00,69000,6
95,Hardware,24,0,1,Yes,Explorer,3,2.15,65000,6
96,Software,27,0,2,Yes,Analyst,4,1.58,41000,4
97,Hardware,28,0,2,Yes,Sentinel,3,2.7,55000,4
98,Hardware,46,1,1,Yes,Sentinel,6,3.34,86800,9
99,Hardware,40,0,1,No,Sentinel,5,1.95,49000,6
100,Hardware,56,1,5,Yes,Diplomat,4,3.43,71800,8
101,Hardware,63,0,2,Yes,Diplomat,1,2.92,71000,7
102,Hardware,37,0,1,Yes,Explorer,1,1.33,60000,3
103,Software,51,0,8,Yes,Explorer,2,1.96,100000,8
104,Hardware,34,1,1,Yes,Diplomat,4,1.69,75200,7
105,Hardware,44,0,1,No,Explorer,4,1.48,85000,5
106,Hardware,56,1,1,Yes,Explorer,1,3.17,73800,8
107,Software,54,1,1,Yes,Explorer,6,2.48,123200,10
108,Hardware,60,1,10,No,Diplomat,0,3.49,60000,4
109,Software,27,0,2,No,Diplomat,4,2.29,50000,7
110,Hardware,36,0,1,No,Diplomat,4,4.00,75000,9
111,Software,26,0,2,Yes,Diplomat,2,2.82,72000,8
112,Software,38,0,1,Yes,Diplomat,5,3.35,130000,10
113,Software,29,1,1,No,Explorer,2,3.02,54200,6
114,Software,31,0,1,Yes,Analyst,2,1.32,50000,3
115,Hardware,47,1,2,No,Sentinel,5,4.00,82600,8
116,Software,30,1,1,No,Diplomat,2,3.88,51000,7
117,Software,24,0,7,Yes,Sentinel,2,1.25,52000,5
118,Hardware,51,0,2,Yes,Explorer,1,1.84,68000,5
119,Software,43,0,2,Yes,Explorer,3,3.71,114000,10
120,Software,28,1,2,Yes,Analyst,3,1.79,55400,5
121,Software,24,0,2,Yes,Explorer,1,3.72,72000,6
122,Hardware,60,0,6,No,Analyst,4,4.00,91000,7
123,Hardware,52,0,1,No,Analyst,1,1.14,32000,2
124,Software,43,0,3,Yes,Diplomat,2,2.18,76000,10
125,Hardware,52,0,6,No,Analyst,4,3.28,59000,5
126,Hardware,28,0,3,Yes,Analyst,0,3.29,55000,3
127,Software,24,0,1,Yes,Explorer,2,3.38,57000,9
128,Hardware,38,0,6,Yes,Analyst,5,3.93,128000,10
129,Hardware,42,1,2,Yes,Diplomat,4,3.14,80600,7
130,Hardware,30,0,7,No,Sentinel,1,2.97,51000,4
131,Software,26,0,6,Yes,Diplomat,5,2.37,84000,9
132,Hardware,32,0,2,Yes,Explorer,1,3.61,72000,5
133,Software,53,1,6,No,Explorer,0,3.99,62400,6
134,Software,31,0,2,Yes,Diplomat,2,3.88,64000,7
135,Hardware,46,0,7,Yes,Sentinel,1,1.68,74000,5
136,Hardware,43,0,6,Yes,Diplomat,1,1.67,84000,4
137,Software,46,1,1,Yes,Explorer,1,2.43,79800,6
138,Hardware,25,1,2,No,Explorer,1,3.33,45000,4
139,Software,22,1,3,Yes,Explorer,0,1.95,53600,3
140,Software,33,0,2,Yes,Explorer,1,3.22,94000,6
141,Software,24,0,2,Yes,Diplomat,2,2.15,70000,6
142,Software,24,0,2,Yes,Explorer,5,2.54,66000,6
143,Hardware,28,0,2,Yes,Analyst,1,2.47,39000,4
144,Hardware,45,0,1,Yes,Diplomat,2,2.11,95000,5
145,Hardware,56,0,2,Yes,Diplomat,5,4.00,137000,9
146,Software,57,1,1,No,Diplomat,3,1.99,51600,6
147,Hardware,50,0,5,Yes,Explorer,2,1.76,73000,8
148,Software,48,0,2,Yes,Explorer,0,1.62,78000,3
149,Software,29,1,7,Yes,Explorer,3,2.97,73200,10
150,Software,35,0,2,Yes,Analyst,4,3.49,82000,5
151,Software,27,0,1,Yes,Explorer,3,2.19,52000,5
152,Software,25,0,8,Yes,Explorer,3,3.52,66000,10
153,Hardware,27,0,1,Yes,Diplomat,2,1.44,53000,4
154,Hardware,27,0,2,No,Explorer,0,2.99,31000,4
155,Hardware,57,0,1,No,Explorer,3,3.98,85000,5
156,Software,34,1,2,Yes,Diplomat,2,3.52,80200,8
